clip_key,section,base_video_id,chunk,video_id,clip_index,duration_sec,size_mb,status
goa/walking/04YKvC8kAgI/04YKvC8kAgI-000.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,0,9.73,1.57,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-001.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,1,10.0,1.56,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-002.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,2,10.0,1.41,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-003.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,3,10.0,1.33,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-004.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,4,10.0,1.33,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-005.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,5,10.0,1.36,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-006.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,6,10.0,1.22,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-007.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,7,10.0,1.07,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-008.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,8,10.0,1.14,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-009.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,9,5.43,0.79,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-010.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,10,7.5,0.92,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-011.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,11,10.0,1.36,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-012.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,12,8.93,1.07,ok
goa/walking/04YKvC8kAgI/04YKvC8kAgI-013.mp4,goa/walking,04YKvC8kAgI,,04YKvC8kAgI,13,5.1,0.63,ok
